pokemon_id,pokemon,generation,location_name,games,location,levels,rate,rate_morning,rate_day,rate_night
1,bulbasaur,1,Cerulean City,yellow,gift,10,One,,,
1,bulbasaur,1,Professor Oak's Laboratory,red|blue,gift,5,One,,,
1,bulbasaur,1,Professor Oak's Laboratory,firered|leafgreen,gift,5,One,,,
4,charmander,1,Kanto Route 24,yellow,gift,10,One,,,
4,charmander,1,Professor Oak's Laboratory,red|blue,gift,5,One,,,
4,charmander,1,Professor Oak's Laboratory,firered|leafgreen,gift,5,One,,,
7,squirtle,1,Professor Oak's Laboratory,red|blue,gift,5,One,,,
7,squirtle,1,Professor Oak's Laboratory,firered|leafgreen,gift,5,One,,,
7,squirtle,1,Vermilion City,yellow,gift,10,One,,,
10,caterpie,1,Azalea Town,gold,headbutt,10,50%,,,
10,caterpie,1,Ilex Forest,gold,grass,5-6,,50%,60%,0%
10,caterpie,1,Ilex Forest,crystal,grass,5,,30%,30%,0%
10,caterpie,1,Ilex Forest,gold,headbutt,10,65%,,,
10,caterpie,1,Johto Route 30,gold,grass,3-4,,50%,35%,0%
10,caterpie,1,Johto Route 30,crystal,grass,3-4,,50%,50%,0%
10,caterpie,1,Johto Route 31,gold,grass,4-5,,35%,35%,0%
10,caterpie,1,Johto Route 31,crystal,grass,4,,30%,30%,0%
10,caterpie,1,Johto Route 34,gold,headbutt,10,65%,,,
10,caterpie,1,Johto Route 35,gold,headbutt,10,65%,,,
10,caterpie,1,Johto Route 36,gold,headbutt,10,65%,,,
10,caterpie,1,Johto Route 37,gold,headbutt,10,65%,,,
10,caterpie,1,Johto Route 39,gold,headbutt,10,65%,,,
10,caterpie,1,Kanto Route 2,blue,grass,3-5,15%,,,
10,caterpie,1,Kanto Route 2,gold|crystal,grass,3,,30%,30%,0%
10,caterpie,1,Kanto Route 2,firered|leafgreen,grass,4-5,5%,,,
10,caterpie,1,Kanto Route 24,blue,grass,7,20%,,,
10,caterpie,1,Kanto Route 24,crystal,grass,"8,10",,60%,50%,0%
10,caterpie,1,Kanto Route 24,firered|leafgreen,grass,7,20%,,,
10,caterpie,1,Kanto Route 25,red,grass,8,1%,,,
10,caterpie,1,Kanto Route 25,blue,grass,8,20%,,,
10,caterpie,1,Kanto Route 25,crystal,grass,10,,30%,30%,0%
10,caterpie,1,Kanto Route 25,firered|leafgreen,grass,8,20%,,,
10,caterpie,1,Kanto Route 26,gold,headbutt,10,65%,,,
10,caterpie,1,Kanto Route 27,gold,headbutt,10,65%,,,
10,caterpie,1,Lake of Rage,gold,headbutt,10,65%,,,
10,caterpie,1,National Park,gold,grass,"10,12",,50%,0%,0%
10,caterpie,1,National Park,gold,grass,10,,0%,30%,0%
10,caterpie,1,National Park,crystal,grass,10,,5%,5%,0%
10,caterpie,1,National Park,gold|silver|crystal,grass,7-18,20%,,,
10,caterpie,1,Viridian Forest,red,grass,3,5%,,,
10,caterpie,1,Viridian Forest,blue,grass,3-5,45%,,,
10,caterpie,1,Viridian Forest,yellow,grass,3-6,50%,,,
10,caterpie,1,Viridian Forest,firered|leafgreen,grass,3-5,40%,,,
11,metapod,1,Ilex Forest,gold,grass,6,,30%,0%,0%
11,metapod,1,Ilex Forest,gold,grass,5-6,,0%,30%,0%
11,metapod,1,Ilex Forest,crystal,grass,7,,20%,20%,0%
11,metapod,1,Ilex Forest,gold,headbutt,10,15%,,,
11,metapod,1,Johto Route 30,gold,grass,4,,10%,0%,0%
11,metapod,1,Johto Route 30,gold,grass,4-5,,0%,15%,0%
11,metapod,1,Johto Route 31,gold,grass,5,,15%,0%,0%
11,metapod,1,Johto Route 31,gold,grass,5-6,,0%,15%,0%
11,metapod,1,Johto Route 34,gold,headbutt,10,15%,,,
11,metapod,1,Johto Route 35,gold,headbutt,10,15%,,,
11,metapod,1,Johto Route 36,gold,headbutt,10,15%,,,
11,metapod,1,Johto Route 37,gold,headbutt,10,15%,,,
11,metapod,1,Johto Route 39,gold,headbutt,10,15%,,,
11,metapod,1,Kanto Route 2,gold,grass,5,,20%,20%,0%
11,metapod,1,Kanto Route 24,blue,grass,8,20%,,,
11,metapod,1,Kanto Route 24,crystal,grass,12,,20%,0%,0%
11,metapod,1,Kanto Route 24,firered,grass,8,1%,,,
11,metapod,1,Kanto Route 24,leafgreen,grass,8,4%,,,
11,metapod,1,Kanto Route 25,red,grass,7,4%,,,
11,metapod,1,Kanto Route 25,blue,grass,9,20%,,,
11,metapod,1,Kanto Route 25,crystal,grass,12,,10%,10%,0%
11,metapod,1,Kanto Route 25,firered,grass,9,1%,,,
11,metapod,1,Kanto Route 25,leafgreen,grass,9,4%,,,
11,metapod,1,Kanto Route 26,gold,headbutt,10,15%,,,
11,metapod,1,Kanto Route 27,gold,headbutt,10,15%,,,
11,metapod,1,Lake of Rage,gold,headbutt,10,15%,,,
11,metapod,1,National Park,gold,grass,10,,30%,30%,0%
11,metapod,1,National Park,gold|silver|crystal,grass,9-18,10%,,,
11,metapod,1,Viridian Forest,red,grass,4,5%,,,
11,metapod,1,Viridian Forest,blue,grass,4-6,40%,,,
11,metapod,1,Viridian Forest,yellow,grass,"4, 6",25%,,,
11,metapod,1,Viridian Forest,firered,grass,5,5%,,,
11,metapod,1,Viridian Forest,leafgreen,grass,4-6,10%,,,
12,butterfree,1,Azalea Town,gold,headbutt,10,10%,,,
12,butterfree,1,Ilex Forest,gold|crystal,headbutt,10,5%,,,
12,butterfree,1,Johto Route 34,gold,headbutt,10,5%,,,
12,butterfree,1,Johto Route 35,gold,headbutt,10,5%,,,
12,butterfree,1,Johto Route 36,gold,headbutt,10,5%,,,
12,butterfree,1,Johto Route 37,gold,headbutt,10,5%,,,
12,butterfree,1,Johto Route 39,gold,headbutt,10,5%,,,
12,butterfree,1,Kanto Route 2,gold,grass,7,,10%,0%,0%
12,butterfree,1,Kanto Route 2,crystal,grass,7,,10%,10%,0%
12,butterfree,1,Kanto Route 24,crystal,grass,14,,5%,5%,0%
12,butterfree,1,Kanto Route 25,crystal,grass,14,,5%,5%,0%
