id,name,primary_color,secondary_color
152,Chikorita,Green,
153,Bayleef,Green,
154,Meganium,Green,Yellow
155,Cyndaquil,Blue,Red
156,Quilava,Blue,Red
157,Typhlosion,Blue,Red
158,Totodile,Blue,
159,Croconaw,Blue,
160,Feraligatr,Blue,Red
161,Sentret,Brown,
162,Furret,Brown,
163,Hoothoot,Brown,Red
164,Noctowl,Brown,Red
165,Ledyba,Red,Black
166,Ledian,Red,Black
167,Spinarak,Green,Red
168,Ariados,Red,Yellow
169,Crobat,Purple,Blue
170,Chinchou,Blue,Yellow
171,Lanturn,Blue,Yellow
172,Pichu,Yellow,
173,Cleffa,Pink,
174,Igglybuff,Pink,
175,Togepi,White,Red
176,Togetic,White,Red
177,Natu,Green,Red
178,Xatu,Green,Red
179,Mareep,Yellow,Blue
180,Flaaffy,Yellow,Blue
181,Ampharos,Yellow,Black
182,Bellossom,Green,Red
183,Marill,Blue,
184,Azumarill,Blue,White
185,Sudowoodo,Brown,Green
186,Politoed,Green,
187,Hoppip,Pink,Green
188,Skiploom,Pink,Green
189,Jumpluff,Blue,White
190,Aipom,Purple,
191,Sunkern,Yellow,Orange
192,Sunflora,Yellow,Red
193,Yanma,Red,Green
194,Wooper,Blue,
195,Quagsire,Blue,
196,Espeon,Purple,Pink
197,Umbreon,Black,Yellow
198,Murkrow,Black,Red
199,Slowking,Pink,Gray
200,Misdreavus,Purple,
201,Unown,Black,
202,Wobbuffet,Blue,Black
203,Girafarig,Yellow,Brown
204,Pineco,Green,
205,Forretress,Gray,Red
206,Dunsparce,Yellow,Blue
207,Gligar,Purple,Red
208,Steelix,Gray,
209,Snubbull,Pink,Blue
210,Granbull,Pink,Blue
211,Qwilfish,Blue,Red
212,Scizor,Red,Gray
213,Shuckle,Red,Yellow
214,Heracross,Blue,
215,Sneasel,Black,Red
216,Teddiursa,Brown,
217,Ursaring,Brown,
218,Slugma,Red,Yellow
219,Magcargo,Red,Orange
220,Swinub,Brown,Gray
221,Piloswine,Brown,Gray
222,Corsola,Pink,White
223,Remoraid,Blue,Red
224,Octillery,Red,Blue
225,Delibird,Red,White
226,Mantine,Blue,White
227,Skarmory,Gray,Red
228,Houndour,Black,Red
229,Houndoom,Black,Red
230,Kingdra,Blue,Yellow
231,Phanpy,Blue,
232,Donphan,Gray,
233,Porygon2,Pink,Blue
234,Stantler,Brown,
235,Smeargle,White,Brown
236,Tyrogue,Brown,
237,Hitmontop,Brown,
238,Smoochum,Pink,Yellow
239,Elekid,Yellow,Black
240,Magby,Red,Yellow
241,Miltank,Pink,
242,Blissey,Pink,
243,Raikou,Yellow,Black
244,Entei,Red,Yellow
245,Suicune,Blue,White
246,Larvitar,Green,Red
247,Pupitar,Gray,Blue
248,Tyranitar,Green,Black
249,Lugia,White,Blue
250,Ho-Oh,Red,Yellow
251,Celebi,Green,Blue
